company_name,address,midc_area,industry_label,business_type,latitude,longitude,phone,website,rating,total_reviews
220/132/33 KV MSETCL Baramati Substation,"R 59, Baramati Midc, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1807884,74.6026574,,,4.4,5
3D SculpLab - Online Manufacturing Service,"205, Satyam Bldg., Waghire Heights, behind Nav Maharashtra School, Pimpri Gaon, Pune, Maharashtra 411017, India",Baramati,General Manufacturing,Manufacturer,18.6084377,73.8022675,079759 44394,https://www.3dsculplab.xyz/,5,31
3WD Software,"Office No. 3, 4th floor, Mukti Corporate Plazza, Baramati Bhigwan Road, near Baramati Panchayat Samiti, Anand Nagar Colony, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.1570171,74.5813194,088080 89975,http://www.3wdsoft.com/,4.5,21
5 Elements Organic,"Shop No.04, Plot No.6, 5H28+CG9 5/A, Jagtap Mala, Survey No.292, Sant Savtamali Rd, Khandobanagar, Baramati, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1510772,74.5663689,,,,
7 Plus Electronics,"5JG4+4M5, Mandai Rd, Suryanagari, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Electronics Manufacturing,Manufacturer,18.175233,74.6066761,099752 63923,,3,2
7th Heaven Cake and Events,"Subhadra Mall, below Pantaloons, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Food Processing,Manufacturer,18.1773356,74.6056984,098221 03331,,4.8,1182
A.K.Speciality Gases Pvt Ltd.,"Plot No: C, 21, Airport Cir, near Fire Office of MIDC, Maharashtra Industrial Development Corporation Area, Vanjarvadi, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1942567,74.6054431,02112 297 999,http://www.akgind.com/,4.9,46
Aadarsh Electricals Baramati,"Durga Takies, Near, Patas Rd, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1667774,74.5660261,,,,
Aadesh Cleanchem and Hygiene Products,"Road, near Dhawanwasti School, opp. Gas Pump, Khandobanagar, Medad, Baramati, Maharashtra 413102, India",Baramati,Chemical Processing,Manufacturer,18.1567268,74.5627688,,,,
"Aadi's fresh and fancy pure veg ices, Baramati","Jalochi MIDC road, Suryanagari, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1626607,74.6082816,094233 07194,,4.9,65
Aahira agro industries,"D-47, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Logistics & Warehousing,Manufacturer,18.1995847,74.6048992,091565 65556,,,
Aakash Couriers,"shree ram chowk, Bhigwan Rd, near SHAYOG SOCIETY, Shiva Nagar, Baramati, Maharashtra 413102, India",Baramati,Logistics & Warehousing,Manufacturer,18.164556,74.5911696,094036 27411,,3,8
Aamir Electricals Baramati,"5H2M+443, Shri Ram Nagar, Desai Estate, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1502673,74.5828096,,,3,1
Abhay TV House,"4HXC+CJ4, New Kacheri Rd, Gandhi Chowk, Samarth Nagar, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.1485054,74.571578,,,4,6
Abhir aircon systems,"Sayali Hill, Sai Empire, Bhigwan Road, Saily Nagar, Baramati, Maharashtra 413133, India",Baramati,Electronics Manufacturing,Manufacturer,18.1762106,74.5983939,090115 56262,,3.8,12
Abhir Engineering,"Jalochi road, near Sudit Hotel, Ambika Nagar, Pushpak Apartment, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1554186,74.5890232,096998 11427,,2.3,3
Acconix Software Solutions,"Tambe Commercial Complex Offc. No 10 Basement Near Hotel City Inn, Bhigwan Rd, Baramati, Maharashtra 413133, India",Baramati,IT Services,Manufacturer,18.1777567,74.6044836,097306 24232,,4,2
ACPL Transport BARAMATI,"Plot No. D-24, near RTO Office Baramati, Maharashtra Industrial Development Corporation Area, Pune, Baramati, Maharashtra 413133, India",Baramati,Logistics & Warehousing,Manufacturer,18.1905128,74.6021794,077220 62479,http://www.acplcargo.com/,2.8,4
Adhishri Manufacturers of Textiles Garments,"Rural Hospital, Nirmiti Capital Near Rui, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1815359,74.6179119,,,5,2
Adhishri Textile Company Outlet,"Shop No 4, Dhale Sanghvi icon City in chowk, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1754557,74.6048475,089754 87484,,4.6,11
ADVANCED ROBOTICS AND AUTOMATION,"Baramati Songaon Road, Baramati, Gunavadi, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1305217,74.5832632,,,5,2
AeroSafe,"Textile Park Road, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.204092,74.6078344,,,,
Airtech Refrigeration,"Shop No 1&3, nr Bank of Maharashtra, opp. tripaathi classes, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Electronics Manufacturing,Manufacturer,18.1833637,74.6086974,072767 27274,,4.9,81
AJIT MEDICALS,"tejas palace, Pushpak Apartment, Baramati, Maharashtra 413102, India",Baramati,Pharmaceutical Manufacturing,Manufacturer,18.1605282,74.5864737,098237 35935,,5,1
Ajspire Technologies Pvt. Ltd.,"Anand Gold Coin Building, opposite Baramati Bus Stand, Samarth Nagar, Baramati, Maharashtra 413102, India",Baramati,IT Services,Manufacturer,18.1449188,74.5760593,095957 75123,http://ajspire.com/,4.9,10
AKASH AUTOMATION SOLUTION,"PL.NO.P/83 MIDC KALA SHOPPING, near PETROL PUMP, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1836357,74.6108113,,,,
